연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,is_outlier_3-5세,is_outlier_6-8세,is_outlier_9-11세,cluster_3-5세,dist_3-5세,margin_3-5세,cluster_6-8세,dist_6-8세,margin_6-8세,cluster_9-11세,dist_9-11세,margin_9-11세
3-5세,180,360,3.75,1.5,0.3333333333333333,0.3888888888888889,3,2,0.0,,,2.0,1.3611895146475572,2.1874399633933743,,,,,,
3-5세,150,360,3.75,1.5,0.3600000000000001,0.3888888888888889,5,5,0.0,,,2.0,1.3952064484170132,2.094358178087467,,,,,,
3-5세,0,40,0.0,0.5,0.0,0.625,4,4,0.0,,,2.0,1.7316753183055893,1.7371578484907293,,,,,,
3-5세,60,60,1.25,0.5,1.0,1.0,5,5,0.0,,,1.0,0.8023934557688049,2.0319919769809176,,,,,,
3-5세,120,480,1.25,1.0,1.0,0.5,3,3,0.0,,,2.0,2.0885786203404546,0.7618432744521759,,,,,,
3-5세,120,120,3.75,1.5,0.375,0.375,3,3,0.0,,,2.0,1.758847778612122,1.233263338460134,,,,,,
3-5세,0,150,0.0,0.75,0.0,0.6800000000000002,4,5,0.0,,,2.0,1.6966050660402707,1.3018964990511088,,,,,,
3-5세,150,240,2.5,1.0,0.6800000000000002,0.625,2,2,0.0,,,2.0,0.6757467225647666,1.1148281775714628,,,,,,
3-5세,90,150,1.25,0.5,1.0,1.0,5,9,0.0,,,1.0,0.7175612537495564,1.7246984424652148,,,,,,
3-5세,60,180,0.5,0.5,1.0,1.0,4,6,0.0,,,1.0,0.9656314827503931,1.8132395165562478,,,,,,
3-5세,40,120,1.25,0.5,1.0,0.5,3,4,0.0,,,1.0,0.7483175950523019,1.779094270912129,,,,,,
3-5세,60,90,0.75,0.5,0.5,0.5555555555555556,4,5,0.0,,,1.0,0.6489109153163751,1.9617434469655635,,,,,,
3-5세,180,180,4.0,1.25,0.2777777777777778,0.2777777777777778,2,4,0.0,,,2.0,1.4626634426848373,1.6095802162293258,,,,,,
3-5세,180,300,1.25,0.5,1.0,1.0,3,3,0.0,,,1.0,1.6944059542511842,0.4152766844788671,,,,,,
3-5세,120,120,0.75,0.25,1.0,1.0,4,4,0.0,,,1.0,0.9981681666499996,1.932660516878899,,,,,,
3-5세,75,75,1.75,0.75,0.6800000000000002,0.6800000000000002,6,5,0.0,,,1.0,0.7252898268509057,1.3566952567722232,,,,,,
3-5세,60,60,1.0,0.25,1.0,1.0,1,9,0.0,,,1.0,0.9888404730722057,2.1814826293247123,,,,,,
3-5세,60,60,0.5,0.25,1.0,1.0,6,9,0.0,,,1.0,1.109909804438916,2.2375122316774343,,,,,,
3-5세,60,90,1.25,0.5,1.0,1.0,4,5,0.0,,,1.0,0.7162031985915938,2.0068877563411984,,,,,,
3-5세,150,180,2.5,1.0,0.52,0.5555555555555556,5,7,0.0,,,2.0,0.8491921033634602,0.8283773147189817,,,,,,
3-5세,300,240,1.75,1.25,0.28,0.375,2,5,0.0,,,2.0,1.2186848669948234,1.5088340046180246,,,,,,
3-5세,120,120,2.5,1.0,0.5,0.5,3,3,0.0,,,2.0,1.3118528187730492,0.2649256812899985,,,,,,
3-5세,180,120,1.25,1.0,0.3333333333333333,0.5,6,6,0.0,,,2.0,1.4791074344567727,0.10746225405163878,,,,,,
3-5세,120,120,1.25,0.5,1.0,1.0,5,5,0.0,,,1.0,0.7585000456073675,1.6982063110508907,,,,,,
3-5세,30,120,0.75,0.5,1.0,0.5,3,3,0.0,,,1.0,0.8447235868948362,1.9122086027105165,,,,,,
3-5세,210,360,3.5,1.5,0.2653061224489795,0.3333333333333333,6,6,0.0,,,2.0,1.2803456182022153,2.2677641871157928,,,,,,
3-5세,60,60,0.5,0.25,1.0,1.0,1,1,0.0,,,1.0,1.109909804438916,2.2375122316774343,,,,,,
3-5세,540,780,2.25,1.5,0.4320987654320988,0.4437869822485207,2,3,0.0,,,0.0,1.1243103945542001,3.549910817935422,,,,,,
3-5세,60,120,1.5,0.5,0.5,1.0,4,4,0.0,,,1.0,0.6618586359113351,1.7462572616772851,,,,,,
